yanjiu	烟酒:512:true	研究:17:false	烟久:11:true	盐酒:2:true	焱九:1:false	煙酒:1:true	
lalu	辣卤:878:true	腊卤:1:true	拉鲁:1:false	辣鲁:1:false	
micu	米醋:108:true	
michangtangfan	米肠汤饭:436:true	
hongshaoniuroudaoxuemian	红烧牛肉刀削面:47:true	
bimozhixia	笔墨纸虾:70:true	
xiaoheyu	小河鱼:44:true	
juanweiluosifen	卷味螺蛳粉:134:true	
chaihu	柴胡:99:true	
diliao	底料:100:true	
liangbanyunsi	凉拌云丝:31:true	
huashengtusi	花生吐司:26:true	花生土司:2:true	
suisuiya	碎碎鸭:42:true	
niuyabing	牛轧饼:26:true	
lajiaochaoji	辣椒炒鸡:65:true	辣椒炒雞:1:true	
shengnvguo	圣女果:1882:true	聖女果:4:true	
paojiaoyupi	泡椒鱼皮:303:true	泡脚鱼皮:1:true	
youlinqiezi	油淋茄子:56:true	
ebuedoushangeleme	饿不饿都上饿了么:29:true	
zhumaodou	煮毛豆:131:true	
mihuanshuiguolao	蜜欢水果捞:58:true	密欢水果捞:3:true	
wudaokouzaogao	五道口枣糕:172:true	五道口糟糕:4:false	
zhuyoubanmian	猪油拌面:69:true	猪油伴面:2:true	
rongheweidao	融合味道:60:true	
pugongyingkeli	蒲公英颗粒:130:true	
baitaoshupian	白桃薯片:39:true	
qingzhengji	清蒸鸡:257:true	青蒸鸡:1:true	清蒸几:1:false	
lvchujianshencan	绿厨健身餐:29:true	
fangyuxietao	防雨鞋套:37:true	防御鞋套:1:true	
dapen	大盆:56:true	
daoyujuanbing	刀鱼卷饼:139:true	
huntunjiaozi	馄饨饺子:45:true	混饨饺子:2:true	
lanmeidangao	蓝莓蛋糕:85:true	
huaweishujuxian	华为数据线:378:true	
simuxue	思慕雪:85:true	
99duomeigui	99朵玫瑰:68:true	99多玫瑰:2:true	
shuiguolihe	水果礼盒:267:true	
wandouliangfen	豌豆凉粉:197:true	
luhuigao	芦荟膏:33:true	
darouyuntun	大肉云吞:54:true	大肉雲吞:1:true	
youbaoyao	油包腰:28:true	
baozhifan	鲍汁饭:371:true	爆汁饭:7:true	鮑汁饭:2:true	鮑汁飯:1:true	
sushuijiao	素水饺:286:true	素水餃:7:true	苏水饺:2:true	
jigucao	鸡骨草:32:true	
chaoniangao	炒年糕:28696:true	抄年糕:89:true	超年糕:8:false	
jianshuidoufu	建水豆腐:40:true	涧水豆腐:1:false	
songnanqin	送男寝:48:true	
kaohuotuichang	烤火腿肠:192:true	靠火腿肠:1:true	
taojiaoyiner	桃胶银耳:29:true	
roudanbaofan	肉蛋包饭:57:true	
niuroulumian	牛肉卤面:75:true	
shengditang	生地汤:29:true	
jiuyangdoujiang	九阳豆浆:124:true	九陽豆漿:2:true	九洋豆浆:1:false	
dangshan	砀山:38:true	
hongjingtian	红景天:236:true	紅景天:1:true	
jisidoufunao	鸡丝豆腐脑:27:true	
liangcaipinpan	凉菜拼盘:2500:true	
zhajizhachuan	炸鸡炸串:202:true	zhaji炸串:1:true	
yidashanglou	医大上楼:27:true	
gouguantou	狗罐头:30:true	
shenhaixueyu	深海鳕鱼:80:true	深海雪鱼:1:false	
rengongniuhuangjiaxiaozuo	人工牛黄甲硝唑:251:true	
zhishihuolongguo	芝士火龙果:33:true	
lenghuntun	冷馄饨:369:true	
liangbanmianjin	凉拌面筋:291:true	
jingdiannaicha	经典奶茶:30:true	
lvdoubangbing	绿豆棒冰:80:true	
