奶茶	奶绿	182674
大乌	大艇粥	5
蜆子	蚬子,黄蚬子,蚶子	24225,7129,1653
炸菜角	炸糕,锅巴菜,韭菜合子	2004,154,54
黑盒子	绿蟹子	306
天花板	脆花肠	113
卤门腔	卤鹅,猪门腔,糟门腔,香糟门腔	9355,90,26,5
烤豆卷	烤大茄,干豆卷,烤油边	727,253,196
卤牛肉	牛肚,卤鸭,卤鸭翅,卤耳尖	216315,123821,17721,402
脆皮粉	螺蛳粉,牛肉粉,卤粉,素粉,卷粉	89126,69291,19139,18327,14121
卷饼	手抓饼,烧饼,炒饼,大饼,煎饼果子	171126,85499,42811,31848,25989
炸云	云吞,云吞面	136691,25032
雪纺	雪烧	254
黑魚	黑鱼	70156
草鹅	鹅杂,鹅煲,仔鹅,草公鸡	3233,1323,384,205
炸羊	羊腰子,羊筋	5459,877
跳鱼	黄鱼,鲈鱼,目鱼,大黄鱼,剥皮鱼	108422,44766,17908,12889,11290
油皇鸡	油鸡,切鸡饭,豉油鸡,沙姜鸡,咸鸡饭	50834,17355,12240,2006,1674
鸡饺	滑鸡,炖鸡汤	92525,8094
鸡肋	原味鸡,木子鸡	74662,88
鸡胃	鸡心,鸡脖,鸡皮,鸡全翅,鸡肝	56695,28765,22866,17360,15532
鸡兔	干锅兔,跳跳鸡	2439,212
鸡碎	炸鸡翅,鸡中宝	15401,434
汤牛	汤粉,面汤,粿汤,牛骨粉,汤桂粉	132601,22966,1747,1069,49
咖哩粉	孜然粉	28362
鸡滑	鸡肉饭,鸡丁饭	48800,29758
焖扁豆	土豆酱	2340
生牛粉	濑粉	5308
猪堡	牛肉堡,烤堡,至尊堡,虾柳堡	39358,11763,860,6
奶清	奶盖	493820
奶爆	炒奶果	883
条粉	土豆粉,细粉,红薯粉,空心粉,紫薯粉	127115,68282,60354,1804,680
烤肉串	烤翅,羊肉串,牛肉串,烤鸡肉,烤羊肉串	181418,52237,26436,22603,5281
豆丸	鱼丸汤	9810
绿佛饼	薯饼	47337
豆竹	冻豆腐,油豆皮,豆芽菜,油豆泡	12556,8408,2141,901
甘虾	甜虾,熟虾,牡丹虾,火炙虾	13623,6516,1413,214
土豆块	土豆片,干豆腐,豆腐皮,千页豆腐,小土豆	137739,108895,55779,37371,32060
小馇粥	米粥,南瓜粥,麦粥,绿豆粥,养生粥	124249,26002,22193,13751,4179
炸丸子	蚶子,炸茄盒,炸三样	1653,716,544
豆鱼	片片鱼	4691
油滋拉	油滋了	1187
脆香堡	双鸡堡,烤堡,田园堡,香辣堡,蟹堡	13485,11763,4384,2457,1884
豆脑	豆腐脑,绿豆粥,豆沫,绿豆稀饭	15321,13751,762,94
鯿鱼	鲳鱼,鳊鱼,大黄鱼,罗非鱼,福寿鱼	44651,14914,12889,10027,6718
咸方包	奶油包	1572
蛋滑饭	焗饭,蛋包饭,咖喱饭,酱饭,蔬菜饭	116208,46663,30649,14182,1514
梭子鱼	鱼片,黄鱼,梭子蟹,多宝鱼,大黄鱼	158877,108422,24704,17119,12889
牡蛎汤	蛋汤,豆腐汤,三鲜汤,白菜汤,鱼头汤	101494,48890,9534,4210,2343
一囗肠	纯肉肠,大肉肠,热肠,一口肠	6802,2555,171,0
扑鱼	毛花鱼	92
肝片	腰片,肝尖,舌片	9171,8387,675
羊鲜	烤羊	48069
淡贝丸	牛肉丸,脆丸,淡水丸,虾味丸,鱼味丸	139724,1661,816,612,241
杞子	枸杞	312097
班鱼	鲈鱼,鲢鱼,桂鱼,子鱼,黄骨鱼	44766,26762,22827,21555,10313
饼粉	茹粉结	3
四喜丸子	狮子头,肉丸子,焖子,把子肉	52991,24376,8532,2338
肝饭	鸭翼饭	45
鳗鳞鱼	鲳鱼,大黄鱼,安康鱼,蝶鱼,比目鱼	44651,12889,3723,2843,2471
烤大翅	烤油边,牛大筋	196,60
豆沙包	菜包,肉包,小笼包,奶黄包,叉烧包	120434,104550,48594,24248,19787
夏夷贝	扇贝,赤贝,黄贝,刀贝,刺贝	85099,1849,523,100,42
荠菜饺	韭菜饺,鲜饺,三鲜饺,香菇饺,烤饺	10545,9441,7041,5920,3239
虾粉	花甲粉,海鲜粉,锡纸粉	33696,2757,1990
小黃瓜	拍黄瓜,小黄瓜	34677,21612
握寿	寿司	242753
冰圆	牛奶冰	27352
罗宋面	筋面,素面	60457,10316
冰糟	红豆冰	18659
冰渣	冰饭	3277
帶鱼	带鱼,黑鱼,鲤鱼,杂鱼,燕鱼	98137,70156,18840,11996,2541
卤耳尖	猪耳,猪耳朵,卤牛肉	120134,54828,25458
黄乳串	火龙串,肉枣串,蟹黄排,吉烧大串	1724,494,410,0
笨鸡锅	咸鸭锅	330
蒜片	蒜泥,咸蒜	67367,542
爆爆奶	奶蜜	4833
中萃面	香菇面,手打面	12114,1089
果橙	果茶	352797
碟饭	煲仔饭,牛腩饭,叉烧饭,蒸饭,烩饭	285119,41968,39174,26056,20852
果粥	水果茶	115806
黑蟹	蟹脚,花蟹,膏蟹,面包蟹,青蟹	15245,13478,6337,3444,3066
冰欺淋	冰淇凌	3957
酱蟹	蟹煲,花蟹,石蟹,籽蟹,红花蟹	13854,13478,935,851,189
槟郎芋	魔芋丝	9792
泡干	干面	52387
魔芋丝结	海带结,芋头粉,素肚丝	35436,2620,297
腊饭	熏肠饭,小骨饭	42,17
鱼腩煲	鸡煲,茄子煲	49568,20565
炸排	鸡排,炸鸡,鸡排饭,腿排,猪排饭	915116,352513,135196,73819,30831
崂面	回勺面	334
碎椒	青椒,杭椒,白辣椒	560757,35034,5990
烟肠	套肠	1192
红枣汤	绿豆汤,红枣粥,银耳汤,红豆汤,莲子汤	39072,13950,10061,6033,3506
猪扇骨	筒子骨,猪肘子,棒子骨,猪蹄膀,猪大排	31502,4598,2201,2170,0
片鸭	鸭腿肉,片皮鸭	4273,1792
黄刺	黄鳝,昂刺鱼,汪刺鱼	26988,17940,1603
干豆	豆角,豆芽,豆腐丝,豆腐皮,小豆芽	415752,181404,63440,55779,2017
背面	鱼汤面,黄鱼面,爆鱼面,蟹面	1842,1788,1731,885
肉包	鲜肉,菜包,肉饼,肉丁,小笼包	535343,120434,103476,53662,48594
甘遮汁	梨汁,苹果汁,菠萝汁,猕猴桃汁,胡萝卜汁	107394,83902,15071,10400,8369
黄蟹	梭子蟹,河蟹,面包蟹,湖蟹,飞蟹	24704,6090,3444,2978,1180
黄鱔	黄鳝	26988
炒茄	茄子,蒸茄	431299,1368
炒葱	炒肉,炒口条,炒门腔	748040,673,76
饺蒸	蒸饺,汤饺,鲜饺	123689,27136,9441
仙草汁	烧仙草	101143
地鸡	鸡胸	88913
饺素	素三鲜	30990
炒意	意面,意粉,意饭,意酱面	102691,33218,1673,49
炒细	炒米,炒圆粉,炒桂粉,炒泗粉	147203,529,127,107
炒石	炒鱼,荷塘小炒,炒豆子,炒三素	10149,252,75,33
鱼头汤	蛋汤,豆汤,豆腐汤,鱼汤,冬瓜汤	101494,59880,48890,24182,11362
爪饭	猪脚饭,猪肘饭,鸭仔饭	31973,1195,303
猪门腔	猪头肉,猪耳朵,猪舌,猪头皮,猪头排	65479,54828,32852,4603,135
鸭丁面	牛蛙面	1234
乳肉	控肉	378
排骨面	肉面,牛肉面,鸡面,牛腩面,酸菜面	714585,634624,116379,22463,21563
辣白	辣菜	10220
双饭	酱饭	14182
双豆	豆米,干豆角,扁豆丝	68518,30857,1675
蛋包	黄金蛋,鸭蛋黄,煎双蛋	8207,3443,1532
苦苣菜	香菜,菠菜,苦菊,鸡毛菜,红苋菜	175717,137940,19305,16303,12781
绿甘蓝	绿豆芽,紫甘蓝,甘蓝菜,紫甘兰	44483,16930,610,198
蛋肠饼	油饼,饼卷,葱花饼,饼卷肉,家常饼	27162,10450,2506,646,309
凉盘	凉拌菜	5565
蛋肠	肠粉,粉肠,虾肠,拉肠,煎双蛋	120040,33719,3754,3273,1532
猪后腿肉	猪肘子,猪蹄膀,猪大排,猪小排	4598,2170,0,0
笋烧	烧笋	1676
新爆	爆三样,老爆三	1289,913
卤土豆	卤鸭,卤千张	123821,1436
肉肚	香肚	2158
枪鱼	立鱼,九肚鱼	4291,816
酱炖	炖鱼,东北乱炖,肉乱炖	6026,361,271
鸡比饭	油鸡,叉烧饭,切鸡饭,豉油鸡,咸鸡饭	50834,39174,17355,12240,1674
荠荠菜	山野菜,蘸酱菜,沾酱菜	3387,1002,200
拌莴笋	拌黄瓜,拌青瓜,拌三丝,拌鸭肠,拌银耳	23582,1952,1571,1492,1151
焖大虾	开背虾	1597
猪头肉	猪耳,鸭头,猪耳朵,猪舌,酱牛肉	120134,78287,54828,32852,25081
皮肉	香肉,骨肉,五香肉,葱花肉	143431,109802,8483,1368
小麻鱼	小炒肉,鱼块,麻婆豆腐,红烧鱼,糍粑鱼	95328,68202,31086,28581,6403
腌鸡	麻鸡,清远鸡,文昌鸡,湛江鸡	26644,8932,6781,2607
泼面	杂面,素面,三鲜面,大肉面,羊杂面	52051,10316,7966,3934,3271
汤面	汤粉,汤饭,粉面,菜面,捞面	132601,122328,103145,54180,36126
蒜面	削面,油泼面,饸饹面,炝锅面,饸烙面	168025,11522,7484,2221,1112
咸鹅蛋	鸭蛋,咸鸭蛋	110633,65900
白昌鱼	鲳鱼,桂鱼,子鱼,昂刺鱼,多宝鱼	44651,22827,21555,17940,17119
金針菇	金针菇,平菇,凤尾菇	273306,44206,806
仔兔	仔鸡,兔丁,尖椒兔,仔姜兔,仔姜鸡	22990,6354,477,386,208
汤粉	汤面,河粉,粉面,粉干,卤粉	247544,220141,103145,48055,19139
磨菇	香菇,蘑菇,平菇,姬菇,茨菇	939473,215171,44206,4979,3367
蟹王棒	蟹棒,蟹排,蟹肉棒,蟹足棒,蟹味排	37020,23493,16635,2517,2121
蛋牛	煎双蛋,蛋拉粉	1532,205
卷葱	菜卷,干豆卷	27563,253
蛋拉粉	肠粉,瘦肉粉,拉肠,肉蛋肠,粉签	120040,7474,3273,2100,1210
柳棒	唐杨棒	114
蛋菇	鸟蛋	5880
咸飯	咸饭	6271
煎饼果子	手抓饼,烧饼,卷饼,大饼,菜煎饼	171126,85499,40125,31848,12070
爆蛙	牛蛙面,跳水蛙	1234,544
油馍馍	油卷,蒸馍,油糖饼,油炸馍片	4375,269,25,12
鳕蟹	银鳕鱼,雪蟹,蟹宝,软壳蟹	5596,1943,1010,894
燥肉	卤肉,卤肉饭,鸡肉饭,肉燥,肉燥饭	280103,124370,48800,8171,3393
海澡	海藻	40563
海沥	海蛎,海蛏,海蛎煎,小杂海	21411,3710,825,39
羊里脊	羊肉片,羊蝎子,羊腿,羊腱	37279,22181,18039,975
菜补	拌春菜	65
海刺	刺身,海虹,海鲜羹,刺贝	45343,42448,805,42
小油泡	豆泡,油面筋,油片,油豆泡,面筋泡	24909,17556,9506,901,488
酸辣粉	米粉,土豆粉,螺蛳粉,卤粉,卷粉	470562,127115,89126,19139,14121
鲜羊蛋	羊腿,羊腰,羊宝,羊小腿,羊枪	18039,13523,4553,579,412
雏鸡	椒麻鸡,风干鸡,鸡背	18312,1294,730
鲜鱿粥	鸡粥,鱼粥,鱼片粥,蟹粥,鲜粥	30668,18272,13286,10024,9743
草公鸡	土鸡,草鸡,母鸡,三黄鸡,麻鸡	184766,60044,51445,32236,26644
豆渣饼	扁豆,豆煲,藕饼	59329,4666,2325
寸寸面	浆水面,白皮面,回勺面,驴蹄面	697,537,334,16
玉米粉	玉米面,杂粮粉,五谷粉,紫薯粉,宽薯粉	26142,2523,1350,680,121
扬春面	清汤面,猫耳面,六鲜面,九鲜面,烂糊面	3056,148,128,101,66
魚丸	肉丸,鱼丸,牛肉丸,贡丸,牛丸	306998,242046,139724,56577,49625
豆圈	豆腐皮,黄豆芽,豆芽菜,豆腐块,豆结	55779,46151,2141,2133,1193
牛腩面	肉面,汤面,鸡面,排骨面,牛肉汤	714585,247544,116379,91944,86505
海带菜	海带丝,爽口菜	120610,9147
卤鸡	卤鸭,盐焗鸡,蜜汁鸡,酱鸡,盐鸡	123821,115116,33060,28356,12659
血糕	汽糕	110
青莱粥	白粥,咸骨粥,白米粥,阿婆粥	20837,5266,3675,3
鸡腿面	肉丝面,菜面,牛杂面,馄饨面,三鲜面	56865,54180,15658,8712,7966
耳叶	猪耳	120134
牛南饭	猪脚饭,鸭比饭,猪利饭,姜鸭饭,鸭仔饭	31973,410,388,303,303
包圆	肉圆,煎包,生煎包	27994,21136,6412
圆白	小白菜,奶白菜	78988,7637
夹肠	饼夹串	220
川圆汤	蛋汤,冬瓜汤,三鲜汤,鲫鱼汤,鱼头汤	101494,11362,9534,6193,2343
老麻鱼	来凤鱼,仔姜鱼	231,93
蟹肉汤	肉酱面,海鲜汤,牛尾汤	14994,9428,1148
膜片	馍片	21565
椰丝方包	椰挞	164
方便粥	菌菇粥,素菜粥	2553,238
珍面	双交面,胴骨面	26,10
糯米片	黄瓜片,五福片	4482,262
青花菜	上海青,皇帝菜,茼蒿菜,豆芽菜,青笋片	27529,3309,2776,2141,1410
菠萝包	排包,奶酪包,奶油包,猪仔包,榴莲包	16458,4291,1572,1002,363
海蛰丝	海带,海带丝,海带结,海菜,千张丝	321264,120610,35436,6947,2894
葵花子	花生,花生果	1325061,1617
火炙蟹	火炙虾	214
奶霜莓莓	奶盖	493820
性肠	肥肠	323427
木乃鱼	臭桂鱼,华鱼,飘香鱼,臭鳜鱼	4240,2151,1261,1031
鱼锅	藤椒鱼,沸腾鱼,香水鱼,石锅鱼,豆花鱼	5302,3446,3077,2796,2783
豆节	豆皮,豆腐皮,香豆腐,豆泡,嫩豆腐	180583,55779,27804,24909,23417
养颜羹	养生粥,养颜粥,水果羹	4179,1498,512
窑鸡饭	熏肠饭	42
绵羊肉	羊排,羊蝎子,羊腿,羊腩,猪梅肉	81331,22181,18039,2402,2137
猪小腰	羊腰,红腰,羊腰子,牛腰子	13523,7344,5459,1295
鸡腿	鸡排,鸡翅,鸡块,香鸡,鸭腿	915116,490792,355475,308065,150670
虎椒	尖椒,剁椒	312631,91388
虎爪	虎皮卷	1060
罐饺	汤饺,鲜饺	27136,9441
萵笋	莴笋,青笋,烟笋,腌笋	116146,32839,14324,678
凤鹅双笋	咸鹅,老鹅汤	3445,348
掌心	点心	61720
汤味快	冬阴功汤	1118
鸡架	鸡柳,鸡胗,鸡脖,鸡叉,鸡手	284346,111062,28765,12008,9615
烧酒鸡	猪肚鸡,麻油鸡,鸡油饭	11487,1344,393
小混蛋	水煮蛋	2251
酸烂	烩酸菜	3127
大油包	包子,煎包,肉包子,素包,菜包子	74152,21136,15136,9072,8978
脆香猪	香酥鸡,脆脆鸡	85413,3881
饺饭	怪噜饭	281
猪油盒	猪头	75009
烤昌鱼	烤大翅	81
山药豆	长豇豆,豌豆苗	6376,4853
牛饭	牛肉饭,鸡排饭,鸡肉饭,鸡扒饭,猪排饭	139893,135196,48800,36372,30831
烧茄饭	卤肉饭,肉燥饭,鲁肉饭,香肉饭,小牛饭	124370,3393,3103,1795,1028
仔骨饭	煎肉饭,香鸭饭,猪柳饭	1129,620,520
籽鱼	鲫鱼,带鱼,黑鱼,草鱼,鲈鱼	98502,98137,70156,66503,44766
野芹菜	外婆菜,野笋,土芹,腊菜,芹芽	55838,3024,2129,244,187
姜蛙	跳水蛙	544
炖鸡	炖排骨	36186
粽叶饭	焖饭,白米饭	14314,6710
豆豉鱼	豆豉鲮鱼	33365
炒江豆	豆角,麻婆豆腐,炒小瓜,酸干豆,炒豆子	415752,31086,567,240,75
菜烧	烧肉,烧笋	368636,1676
嘴鱼	子鱼,臭桂鱼,臭鳜鱼,松子鱼	21555,4240,1031,285
酱口条	酱牛肉,酱脊骨,酱骨架,酱肘花,沾酱菜	25081,1661,1325,756,200
珍菌面	牛杂面,素面,豌杂面,豌豆面,绍子面	15658,10316,5770,1810,754
瘦身汤	猪肺汤,莲子汤,养颜汤	4239,3506,440
老骨	老鹅汤	348
绿豆粥	米粥,南瓜粥,麦粥,白粥,豆腐脑	124249,26002,22193,20837,15321
整切	鲜果切	18101
椰芒	芒果爽	3019
三鲜鲜肉	荠菜肉,肉三鲜,素三鲜,鲜饺	31708,31535,30990,9441
椰包	欧包,奶酪包,奶油包	7598,4291,1572
枸橘	枸杞	312097
熏笋	野笋	3024
爆鸡	烧鸡	277967
面菜	牛杂面,肠旺面,八珍面	15658,558,255
米饭	焖饭,白饭	14314,8800
香菇饺	韭菜饺,鲜饺,三鲜饺,烤饺,水晶饺	10545,9441,7041,3239,2246
菜包	肉包,小笼包,菜饼,豆沙包,鲜肉包	104550,48594,30328,28271,17899
牛肉馅	肉三鲜	31535
香菇包	菜包,肉包,包子,小笼包,煎包	120434,104550,74152,48594,21136
软奶	奶脆	2590
香菇粥	瘦肉粥,玉米粥,菜粥,白粥,红枣粥	86580,38331,37807,20837,13950
麦粥	米粥,南瓜粥,枣粥,红枣粥,绿豆粥	124249,26002,16440,13950,13751
面桶	牛肉面,排骨面,豚骨面,辛拉面,大骨面	634624,91944,68068,36424,4267
黄鸭鱼	咸鸭锅	330
面糕	菜面,米面,面疙瘩,三鲜面,汤年糕	54180,49736,27774,7966,6098
面籽	烫面	3609
面业	家常面	1205
面凉	削筋面,抻面	1558,1364
斋河	牛河	4875
紅豆冰	红豆冰	18659
刺鱼	黄鱼,鲫鱼,黑鱼,草鱼,鲈鱼	108422,98502,70156,66503,44766
补汤	炖汤,老鹅汤	33608,348
球饭	焗饭,扒饭,咖喱饭,蔬菜饭,蒸笼饭	116208,82240,30649,1514,1054
燥子面	扯面,裤带面,削筋面,饸烙面,浆水面	8947,1775,1558,1112,697
大红椒	小米椒	0
丝结	魔芋丝,素肚丝,粉丝团	9792,297,181
鸭手	辣鸭头,鸭肚,鸭板肠,鸭叉,鸭大腿	9387,8167,4597,3274,505
丝汤	排骨汤,蛋花汤,豆腐汤,紫菜汤,冬瓜汤	132417,53646,48890,25145,11362
三鲜素	素三鲜,素合子	30990,89
良鸡	整鸡	5277
幼笋	笋丝,脆笋	49450,41350
三鮮	三鲜素	1329
炒四鲜	地三鲜,烧四宝,清炒虾仁,炒鲜边	20817,467,347,15
肋条肉	肋排,猪肋排,猪梅肉	39243,11284,2137
油鳗	海鳗	1293
韭叶粉	土豆粉,红薯粉,宽粉,火锅粉,川粉	127115,60354,59960,9390,5987
鱼无刺	藤椒鱼,石锅鱼,梭边鱼,凌波鱼,冷锅鱼	5302,2796,1851,828,331
猪肠汤	猪杂汤,血汤,鸭血汤,鸭肉汤,鸭杂汤	45047,5128,2137,709,631
网鱼	鲢鱼,杂鱼,清蒸鱼,清炖鱼,半边鱼	26762,11996,1873,275,187
柚子酱	芥末酱	4158
腊香鸡	腊鸡腿,鸡壳	7451,1814
面汤	汤面,粉面,干面,米面,捞面	247544,103145,52387,49736,36126
鹅肫	卤鹅,鹅翅,盐水鹅,鹅头,鹅血	9355,6196,2920,2897,759
鹅脯	鸭脯	7314
虾煲	鸡煲,蟹煲,鱼煲,油焖虾,蟹肉煲	49568,13854,13696,1154,332
脆口肠	开花肠,波波肠,脆丸,弹力肠,拉丝肠	12159,4241,1661,1235,293
牛鱼	牛尾,牛仔骨,鱼羊鲜	13054,12715,425
炒酱面	双交面	26
白大米	白皮面,炒大米	537,0
绍面	拌面,杂酱面,揪面,豌豆面,老汤面	396982,30580,2498,1810,1008
干豆丝	腐丝,豆腐丝,豆腐皮,芥菜丝,小葱拌豆腐	63618,63440,55779,2052,475
毛花鱼	剥皮鱼,糟鱼,火培鱼	11290,1880,1049
霞卷	紫菜卷,彩虹卷,虾味卷,霞米饺,蟹味卷	7755,1768,828,500,152
蛋腸粉	肠粉,拉粉,粉利,蛋拉粉	120040,818,580,205
孜然肉	水煮肉,辣子肉	30954,6213
里肌肉	里脊肉,骨肉相连,纯肉肠,牛肉排,骨肉香连	88380,52536,6802,2168,278
肚汤	萝卜汤,牛筋汤,狗肉汤	7813,1251,7
蟹身	香辣蟹,蟹钳,蟹爪,卤蟹,迷踪蟹	16872,13487,2174,468,291
酱颈骨	酱牛肉	25081
炸鸡腿	鸡排,鸡翅,香鸡,鸡柳,鸡米花	915116,490792,308065,284346,91063
牛串	牛心管,牛大筋,牛双筋	3413,60,24
牛丼	牛肉饭,牛腩饭,肥牛饭	139893,41968,33788
秀针菇	平菇,海鲜菇,白玉菇,蟹味菇,秀珍菇	44206,19629,15209,15089,6449
牛头皮	牛肚,鸭头,猪头肉,酱牛肉,牛蹄筋	216315,78287,65479,25081,15760
中鱼	黄鱼,鲈鱼,鲳鱼,大黄鱼,马鲛鱼	108422,44766,44651,12889,8996
蒸饺	水饺,饺子,煎饺,汤饺,鲜饺	803202,246305,75128,27136,9441
片鱼	藤椒鱼,沸腾鱼,鲜椒鱼,梭边鱼,飘香鱼	5302,3446,2171,1851,1261
煮面	汤面,筋面,干面,米面,捞面	247544,60457,52387,49736,36126
炸鸡翅	鸡排,翅根,全翅,盐酥鸡,全鸡	915116,112069,45126,31642,29202
牛面	肉面,牛肉面,排骨面,宽面,牛腩面	714585,634624,91944,39528,22463
安鱼	沸腾鱼,豆花鱼,鲜椒鱼,飘香鱼,炝锅鱼	3446,2783,2171,1261,1098
莲子糕	绿豆糕	20015
蟹球	蟹棒,蟹排,蟹肉棒,蟹柳棒,蟹足棒	37020,23493,16635,2538,2517
脚皮	甜皮鸭	1261
肉酿	蛋白肉	1210
鸭辣锁	鸭脖,鸭翅,鸭舌,鸭锁骨,鸭爪	199105,170454,80846,66438,60139
粉丝汤	丸子汤,青菜汤,萝卜汤,酸菜汤,白菜汤	14885,8526,7813,5501,4210
切片面包	吐司面包,排包	16827,16458
香辣面	面片,凉拌面,热面,热汤面,麻酱面	41438,19897,3747,2988,2512
肉糟	卤肉,坛肉,肉燥,扒肉,卤鸡肉	280103,9096,8171,3911,506
肉炖	炖排骨,炖肉,炖鱼,汆白肉	36186,23118,6026,2312
土皮粉	腰肝粉	72
香肝	鱼香肉丝,鱼香茄子,熘肝尖	90141,19844,1849
丁鱼	黄鱼,带鱼,辣鱼,小黄鱼,刀鱼	108422,98137,72041,67265,53784
猪菜	荠菜肉	31708
黑鱼汤	冬瓜汤,鸽汤,鲫鱼汤,鱼头汤,杂烩汤	11362,7960,6193,2343,657
尖尾螺	海白螺	305
草扎肉	扣肉,坛子肉	83190,1498
豆沙月饼	鲜花饼,豆蓉,宫饼	4771,2554,184
姜面	姜汤面,水潺面,姜蛋面	742,133,53
鱼脯	鱼滑	6524
果果切	鲜果切	18101
玫瑰酥	蛋黄酥	28607
炒花壳	花蛤	55507
河蚬	牛河	4875
芙蓉蟹	黄金蟹	7725
牛肉乾	牛肉干,牛肉粒	141036,70008
鸡腿饭	鸡饭,牛肉饭,鸡排饭,排骨饭,卤肉饭	305189,139893,135196,125241,124370
猪瓜	猪爪,猪头片	10649,136
排腿	鸡排,腿排,手枪腿,全腿	915116,73819,31224,25028
鸡粒	滑鸡	92525
锅肉	酸烂肉	241
鱼小份	酸汤鱼,藤椒鱼,香水鱼,豆花鱼,泡菜鱼	9618,5302,3077,2783,2659
烤羊肉串	羊排,肉筋,烤肉串,羊筋,生串	81331,13303,4713,877,685
香冰	爽冰乐	284
摊面	削面,刀削面,凉面,热干面,杂酱面	168025,163091,86532,40519,30580
花虾	皮皮虾,富贵虾,虾虎,赤虾	31838,1239,399,149
炒吹粉	清汤粉,猪脏粉,猪什粉,炒泗粉,汤泗粉	1358,326,111,107,35
吊鸡	文昌鸡,海南鸡,沙姜鸡,药膳鸡	6781,3172,2006,1059
黄鱼	鲫鱼,带鱼,黄花鱼,鲈鱼,鲳鱼	98502,98137,48598,44766,44651
鱼蒸	蒸水蛋,蒸鱼块	3710,855
炒肉河	斋河,炒泗粉	417,107
拌银耳	拌黄瓜,拌三丝,拌鸭肠,拌花菜,拌海藻	23582,1571,1492,727,723
豆沙陷	豆蓉	2554
瑤柱	瑶柱	18968
毛蛤蜊	毛蚶,血蛤,麻蛤	2035,486,334
白仓鱼	桂鱼,多宝鱼,大黄鱼,石斑鱼,福寿鱼	22827,17119,12889,6964,6718
花生果	花生米,烤果	203625,494
面脑面	菜面,三鲜面,大肉面,清汤面,雪菜面	54180,7966,3934,3056,2021
白鱼	黄鱼,鲫鱼,带鱼,小黄鱼,草鱼	108422,98502,98137,67265,66503
栗仁	甘栗	23922
摇摇冰	冰沙,沙冰	135464,109619
卜豆	酸豇豆,腊八豆,青皮豆,酸干豆	12092,8723,728,240
咸笋	笋干,苦笋,笋板	43379,3650,140
翅饭	鸡腿饭,叉烧饭,猪脚饭	81192,39174,31973
冰柠水	冰桔茶,鲜柠蜜	1177,655
肺叶	面肺子	165
烧馍	烤馍	16219
香卷	加州卷,太卷,公主卷,双松卷,吞沙卷	7039,3113,1751,260,94
皇汤面	菌菇汤	3691
球生菜	鸡毛菜,木耳菜,红苋菜,奶白菜,香麦菜	16303,14968,12781,7637,5933
茄饭	茄子饭,香肉饭,熏肠饭,茄仔饭	34394,1795,42,40
夹心糖	棉花糖	66805
教头	藠头	3295
青酱面	意面,意大利面,焗面,千层面,通心面	102691,61610,5687,1394,581
小裹	裹卷	577
牛腱饭	牛腩面,肉燥饭,双宝饭	22463,3393,255
炸薯條	薯饼,薯泥	47337,7411
炒门腔	炒肉,小炒肉,炒腰花,炒口条	748040,95328,4237,673
水桶	垃圾桶	13410
片皮鸭	烤鸭,北京烤鸭,香酥鸭,鸭骨,鸭饼	118625,14387,5541,2717,1294
海白螺	田螺,花螺,钉螺,海瓜子,丁螺	51626,15582,11379,6670,3238
杂酱粉	牛肉粉,杂酱面,豌杂,素粉,肥肠粉	69291,30580,23697,18327,17257
小笼包	肉包,小馄饨,豆沙包,奶黄包,汤包	104550,76117,28271,24248,21388
牛肉串	羊肉串,小肉串,牛心管,牛腰子,蒜瓣肉	52237,5066,3413,1295,390
酸菜粉	肉末粉,芹菜粉	6795,2309
鳝鱼片	黄骨鱼,糍粑鱼,滑鱼,飘香鱼,鱼乔	10313,6403,4291,1261,764
混汤	羊肉汤,羊杂汤,酸菜汤,驴杂汤,杂烩汤	13766,8314,5501,1055,657
混炸	炸炸	1494
免鱼	黄鱼,鱼头,鲫鱼,鲈鱼,鲳鱼	108422,107904,98502,44766,44651
薯堡	全虾堡,双牛堡,劲牛堡,脆香堡,虾柳堡	1077,223,90,54,6
薯类	薯格	61247
梭鱼	黄鱼,带鱼,小黄鱼,海鱼,黄花鱼	108422,98137,67265,58945,48598
糟毛豆	糟鱼,毛花鱼,糟门腔,香糟门腔	1880,92,26,5
冒牛	冒粉	246
开卫桃汁	枇杷汁	1285
盖饼	盖饭	745755
羊腿	羊排,羊蝎子,羊蹄,烤羊肉,羊腩	81331,22181,15368,10592,2402
桃汁	橙汁,芒果汁,梨汁,椰子汁,葡萄汁	277494,109175,107394,103380,87751
粽条	粽子	36032
肉臊子	肉浇面	229
四物汤	瘦肉汤,鸽汤,血汤,小肠汤,猪什汤	28287,7960,5128,3784,2443
双色糕	马拉糕,桂花糕	2654,1996
凤筋	凤爪,板筋,牛蹄筋,凤肚	295112,127670,15760,165
鹅什	烧鹅,鹅杂	44075,3233
净粉	牛筋粉,鱼蛋粉,牛丸粉,牛骨粉,斋粉	2433,1866,1834,1069,603
炒野笋	小炒肉,炒青菜,炒腰花,烧笋,炒口条	95328,10875,4237,1676,673
腰子面	菜面,三鲜面,鸡腿面,大肉面,瘦肉面	54180,7966,7077,3934,3417
净面筋	净牛丸	123
椰计	椰汁,椰子汁	203472,103380
焖鱼头	杂鱼,滑鱼,臭桂鱼,海杂鱼,黄丫头	11996,4291,4240,2535,1764
霉鱼	盐鱼,火焙鱼,火培鱼,阳干鱼,毛花鱼	2380,1718,1049,336,92
乳蛋	卤蛋,茶叶蛋,卤鸡蛋	121102,18365,12479
