奶茶	奶绿	182674
大饼	煎饼,烧饼,油饼,煎饼果子,饼子	182109,85499,27162,25989,13386
小炒肉	回锅肉,炒鸡,拆骨肉,粉蒸肉,炒腰花	236937,236532,21107,10938,4237
绵绵冰	牛奶冰,刨冰	27352,24154
蟹肉煲	香辣蟹,肉蟹,蟹煲,虾煲,卤蟹	16872,14024,13854,9291,468
八宝粥	黑米粥,玉米粥,紫米粥,燕麦粥,莲子粥	41047,38331,24213,21060,9929
酸菜	酸豆角,酸汤,酸萝卜	120258,88160,30104
虾饺	蛋饺,燕饺,虾滑,鱼饺,虾米饺	26221,20367,15309,6006,4369
羊杂汤	羊肉汤,羊汤,驴杂,全羊,羊杂面	13766,8097,5691,5359,3271
鱼汤	鱼头,菜汤,鱼面,鱼粥,鱼丸汤	107904,79412,28762,18272,9810
云吞面	汤面,捞面,牛腩面,馄饨面,竹升面	247544,36126,22463,8712,2732
鱼头	鲫鱼,黑鱼,草鱼,鲈鱼,鲢鱼	98502,70156,66503,44766,26762
鸭舌	鸭脖,鸭翅,鸭掌,鸭锁骨,鸭爪	199105,170454,128542,66438,60139
土豆泥	土豆饼	5920
茄子	茄条,茄盒,茄角之恋,炒豆子,茄角恋	17277,4375,436,75,25
粽子	蜜枣粽,团子	8417,3955
龙利鱼	龙虾,鳕鱼,八爪鱼,巴沙鱼,鲷鱼	437837,172704,48460,33380,13198
农夫山泉	泉阳泉	12710
千层饼	煎饼,烧饼,酥饼,大饼,油饼	182109,85499,67972,31848,27162
炸鸡排	鸡翅,鸡柳,脆皮鸡,鸡排饭,猪排	490792,284346,282697,135196,134778
绿豆粥	米粥,南瓜粥,麦粥,白粥,豆腐脑	124249,26002,22193,20837,15321
京酱肉丝	肉段,木须肉,锅包肉,溜肉段,苜蓿肉	22798,18102,7297,6303,2824
鸭血	猪血	25626
炒鸡	小炒肉,炒口条,炒门腔	95328,673,76
粉蒸肉	小炒肉,扣肉,蒸鸡蛋,米粉肉,坛子肉	95328,83190,3201,1995,1498
肥肠粉	牛肉粉,鱼粉,渔粉,肉丝粉,素粉	69291,32498,27526,24622,18327
西米露	黑糯米	40932
乌鸡汤	排骨汤,老鸭汤,炖汤,鸽子汤,骨头汤	132417,68416,33608,29609,12526
瘦肉粥	菜粥,白粥,红枣粥,绿豆粥,鱼片粥	37807,20837,13950,13751,13286
盐焗鸡	卤鸡,盐水鸡	78678,5178
宜宾燃面	热干面,杂酱面,担担面,豌杂面,摊摊面	40519,30580,18706,5770,2437
椰子冻	椰汁,椰奶冻	203472,3309
掉渣饼	手抓饼,煎饼果子,菜煎饼,灌饼,鸡蛋灌饼	171126,25989,12070,9235,6552
脏脏包	排包,欧包,奶酪包,奶油包,榴莲包	16458,7598,4291,1572,363
酱骨	大骨头,酱大骨,酱脊骨,熏排骨	8590,3929,1661,430
粉丝汤	丸子汤,青菜汤,萝卜汤,酸菜汤,白菜汤	14885,8526,7813,5501,4210
童子鸡	鸡腿,鸡翅,香鸡,全鸡,手扒鸡	1024004,490792,308065,29202,14503
石锅	寿喜锅	2210
猪脑	猪肚,猪心,猪腰,猪肺,猪大肠	172234,105790,39645,19074,12140
豆皮	鱼豆腐,豆芽,豆腐干,豆腐皮,香豆腐	196860,181404,83951,55779,27804
鸡肉	牛肉,肉酱,肉排,鸡腿排,牛肉排	3887119,161883,38878,27116,2168
炸炸	炸串,炸鱼丸	9367,2130
锅巴饭	盖饭,盖浇饭,煲仔饭,回锅肉,木桶饭	745755,683053,285119,236937,111736
蒸面	粉面,卤面,米面,手工面,蒸粉	103145,57648,49736,29295,3876
黑鸭	鸭脖,鸭翅,鸭锁骨,卤鸭翅,鸭脖子	199105,170454,66438,17721,4455
炖汤	排骨汤,乌鸡汤,靓汤,骨头汤,炖鸡汤	132417,78140,28190,12526,8094
